date,open,high,low,close,volume,dividends,stock_splits,ticker,price_ma5,price_ma20,ma_crossover,volume_change_pct,rsi_14,daily_return,price_direction
2025-05-13 00:00:00-04:00,209.59847136477597,212.55673652410627,208.17412935394688,212.08859252929688,51909300,0.0,0.0,AAPL,212.08859252929688,212.08859252929688,0,0.0,100.0,0.0,0
2025-05-14 00:00:00-04:00,211.59057778761635,213.09462076548897,209.74789716231066,211.49098205566406,49325800,0.0,0.0,AAPL,211.78978729248047,211.78978729248047,0,-4.976950180410833,0.0,-0.28177398251642005,0
2025-05-15 00:00:00-04:00,210.11643191755599,212.11849916658366,208.71199985896817,210.6144561767578,45029500,0.0,0.0,AAPL,211.39801025390625,211.39801025390625,0,-8.710046263821368,0.0,-0.41445071103577424,0
2025-05-16 00:00:00-04:00,211.52086084946143,211.73003772257164,208.94109887256835,210.42520141601562,54737900,0.0,0.0,AAPL,211.1548080444336,211.1548080444336,0,21.560088386502187,0.0,-0.08985839062412015,0
2025-05-19 00:00:00-04:00,207.0884445111699,208.65223273202483,203.45285841572866,207.9550018310547,46140500,0.0,0.0,AAPL,210.5148468017578,210.5148468017578,0,-15.70648490351292,0.0,-1.1739086232724016,0
2025-05-20 00:00:00-04:00,206.84938410987283,207.64622592622177,204.2198167548668,206.04258728027344,42496600,0.0,0.0,AAPL,209.30564575195314,209.76947021484375,0,-7.8974003315958825,0.0,-0.9196290225973569,0
2025-05-21 00:00:00-04:00,204.35927415345975,206.2218800326306,199.91690624087693,201.29144287109375,59211800,0.0,0.0,AAPL,207.26573791503907,208.5583234514509,0,39.33302899526079,0.0,-2.3059040715290857,0
2025-05-22 00:00:00-04:00,199.91689038506837,201.94882252859867,198.91087172706415,200.56431579589844,46742400,0.0,0.0,AAPL,205.25570983886718,207.55907249450684,0,-21.05897810909312,0.0,-0.36123099165271677,0
2025-05-23 00:00:00-04:00,192.9046989896,196.91877297523902,192.6955373289648,194.49838256835938,78432900,0.0,0.0,AAPL,202.07034606933593,206.1078847249349,0,67.79818751283631,0.0,-3.0244329373685708,1
2025-05-27 00:00:00-04:00,197.51641281084125,199.94677348688452,196.64984031499387,199.4188690185547,56288500,0.0,0.0,AAPL,200.36311950683594,205.43898315429686,0,-28.23356015141605,21.858437252797984,2.5298341226390075,1
2025-05-28 00:00:00-04:00,199.79736291846774,201.9289060786693,199.11008702875665,199.62803649902344,45339700,0.0,0.0,AAPL,199.08020935058593,204.91071527654475,0,-19.45122005382982,22.5778374163599,0.10488851004830657,0
2025-05-29 00:00:00-04:00,202.775557811137,203.00464471322186,197.72558456215265,199.15989685058594,51396800,0.0,0.0,AAPL,198.65390014648438,204.43148040771484,0,13.359373793827478,22.122016334035024,-0.23450596251283207,1
2025-05-30 00:00:00-04:00,198.58218796001185,201.16196516975768,196.00242594876025,200.0563507080078,70819900,0.0,0.0,AAPL,198.55230712890625,204.09493196927585,0,37.79048501073996,25.020733033916017,0.4501176550088415,1
2025-06-02 00:00:00-04:00,199.4885975362889,201.3312933884623,199.3292261245183,200.90298461914062,35423300,0.0,0.0,AAPL,199.8332275390625,203.86693572998047,0,-49.98114936620921,27.56695089737093,0.4231977181111901,1
2025-06-03 00:00:00-04:00,200.55437033168948,202.96480586317466,200.16591202699755,202.46678161621094,46381600,0.0,0.0,AAPL,200.44281005859375,203.77359212239583,0,30.935288355404488,31.84213724156558,0.7783841539412029,0
2025-06-04 00:00:00-04:00,202.10818013514051,205.42502305946414,201.30138338029005,202.01853942871094,43604000,0.0,0.0,AAPL,200.92091064453126,203.66390132904053,0,-5.988581678941651,32.0226690914988,-0.2213904838719083,0
2025-06-05 00:00:00-04:00,202.69585814733983,203.94091870107042,199.35908978394463,199.8372039794922,55126100,0.0,0.0,AAPL,201.0563720703125,203.43880148494944,0,26.42441060453169,30.51153031965265,-1.0797699336839828,1
2025-06-06 00:00:00-04:00,202.19783403313102,204.8871617909174,201.2515910514923,203.11419677734375,46607700,0.0,0.0,AAPL,201.66794128417968,203.42076789008246,0,-15.45257146796164,38.10757278661669,1.6398311888850658,0
2025-06-09 00:00:00-04:00,203.58234611432158,205.18598475848052,199.22961916524454,200.65396118164062,72862600,0.0,0.0,AAPL,201.61813659667968,203.275146484375,0,56.33167910023451,38.11992966520459,-1.2112573294913775,1
2025-06-10 00:00:00-04:00,199.8073282051838,203.54250994980842,199.77744796710627,201.869140625,54672600,0.0,0.0,AAPL,201.4986083984375,203.20484619140626,0,-24.964796754439178,43.05140533803363,0.6056094961710334,0
2025-06-11 00:00:00-04:00,202.69585666840098,203.69190510411792,197.62597377823997,197.9945068359375,60989900,0.0,0.0,AAPL,200.6938018798828,202.5001419067383,0,11.55478246873205,44.345723467283555,-1.9193789486923962,1
2025-06-12 00:00:00-04:00,198.29333609984755,198.890956077424,196.58013147350607,198.41285705566406,43904600,0.0,0.0,AAPL,200.4089324951172,201.8462356567383,0,-28.013326796731917,46.27073079901652,0.21129385173963566,0
2025-06-13 00:00:00-04:00,198.94075911963023,199.57822954037988,194.92668495173118,195.67372131347656,51447300,0.0,0.0,AAPL,198.92083740234375,201.0991989135742,0,17.17974881903035,52.302889442053,-1.3805233102505254,1
2025-06-16 00:00:00-04:00,196.52037110088898,197.90487790098294,195.78328974313985,197.6359405517578,43020700,0.0,0.0,AAPL,198.31723327636718,200.45973587036133,0,-16.37909083664254,46.048564583916686,1.0028016154186137,0
2025-06-17 00:00:00-04:00,196.42074594971083,197.60604600468164,194.43861931524052,194.86691284179688,38856200,0.0,0.0,AAPL,196.91678771972656,199.80533142089843,0,-9.680223706262336,40.5233831969964,-1.4010749776737996,1
2025-06-18 00:00:00-04:00,195.16573699325735,196.7893008408277,194.2991796996429,195.80320739746094,45394700,0.0,0.0,AAPL,196.47852783203126,199.29336242675782,0,16.827430371472254,43.44102756757724,0.4804789802485221,1
2025-06-20 00:00:00-04:00,197.45666110928434,200.90298042554332,196.08210930882012,200.20574951171875,96813500,0.0,0.0,AAPL,196.83710632324218,199.23907775878905,0,113.27049192967462,50.25674644485759,2.2484525012509637,1
2025-06-23 00:00:00-04:00,200.83325703321927,201.50060768152076,198.17380945321412,200.70376586914062,55814300,0.0,0.0,AAPL,197.843115234375,199.24605026245118,0,-42.34863939429935,49.65348442431596,0.24875227541492073,0
2025-06-24 00:00:00-04:00,201.78945874554142,202.63610603642124,199.4089034764897,199.50851440429688,54064000,0.0,0.0,AAPL,198.2176300048828,199.49655685424804,0,-3.1359346977387514,44.787645618082045,-0.5955301634066323,1
2025-06-25 00:00:00-04:00,200.65395335177794,202.8651820841085,199.82723133036671,200.76351928710938,39525700,0.0,0.0,AAPL,199.3969512939453,199.56378936767578,0,-26.890907073098546,47.849830886162785,0.629048282254896,0
2025-06-26 00:00:00-04:00,200.63404307360597,201.8392684520338,198.67184150130464,200.20574951171875,50799100,0.0,0.0,AAPL,200.27745971679687,199.59267501831056,1,28.521696010443833,50.66860811143746,-0.27782426676480343,1
2025-06-27 00:00:00-04:00,201.09224306842364,202.41698947637084,199.20971189891864,200.2854461669922,73188600,0.0,0.0,AAPL,200.29339904785155,199.64895248413086,1,44.07459974684591,44.19466178820138,0.039807375895950514,1
2025-06-30 00:00:00-04:00,201.21175129212304,206.570497066428,198.47261792694385,204.35926818847656,91912800,0.0,0.0,AAPL,201.02449951171874,199.8640983581543,1,25.583492511128792,57.13191476863884,2.0340080117892123,1
2025-07-01 00:00:00-04:00,205.85332972802502,209.35942450018746,205.3254252695324,206.99879455566406,78788900,0.0,0.0,AAPL,202.52255554199218,200.16888885498048,1,-14.278642365372395,59.360241367078544,1.2916107943551136,1
2025-07-02 00:00:00-04:00,208.08449026524102,212.49697770796604,207.31752868499885,211.6005401611328,67941800,0.0,0.0,AAPL,204.68995971679686,200.62557678222657,1,-13.767294631604198,74.1855775912528,2.223078455769123,1
2025-07-03 00:00:00-04:00,211.31166931275297,213.8017903991559,210.97301649264048,212.70614624023438,34955800,0.0,0.0,AAPL,207.1900390625,201.15995712280272,1,-48.550376940263575,74.80125371797065,0.5224968132215846,0
2025-07-07 00:00:00-04:00,211.8395692407974,215.37554414763466,207.97491173225177,209.120361328125,50229000,0.0,0.0,AAPL,208.95702209472657,201.62411499023438,1,43.692892166679066,72.66620677805848,-1.6857928064098027,1
